Episode, Steps, Reward, Time (in milliseconds), Convergence
1, 36, -3.5000000000000018, 1, 0.27657000000000004
2, 36, -3.5000000000000018, 2, 0.183457723644
3, 36, -3.5000000000000018, 5, 0.198374654567634
4, 36, -3.5000000000000018, 6, 0.23867565356694564
5, 36, -3.5000000000000018, 6, 0.181724553617718
6, 36, -3.5000000000000018, 7, 0.16456399506958153
7, 22, -2.1000000000000005, 6, 0.21728631443316251
8, 36, -3.5000000000000018, 6, 0.16754198311793056
9, 14, -1.3, 7, 0.22356497463095626
10, 36, -3.5000000000000018, 9, 0.2956223453210598
11, 36, -3.5000000000000018, 7, 0.30356495986376975
12, 36, -3.5000000000000018, 8, 0.36621390943390053
13, 36, -3.5000000000000018, 9, 0.2290933891002933
14, 12, -1.0999999999999999, 8, 0.24527872189250555
15, 36, -3.5000000000000018, 9, 0.18626271994003693
16, 36, -3.5000000000000018, 9, 0.26996987080764034
17, 36, -3.5000000000000018, 10, 0.3061235995345494
18, 22, -2.1000000000000005, 10, 0.29738949774931145
19, 36, -3.5000000000000018, 11, 0.26012599214276233
20, 36, -3.5000000000000018, 11, 0.4343754751712392
21, 36, -3.5000000000000018, 11, 0.2924424215301784
22, 14, -1.3, 14, 0.2505197525161548
23, 36, -3.5000000000000018, 15, 0.8465660102551342
24, 36, -3.5000000000000018, 13, 0.3105438834406429
25, 18, -1.7000000000000004, 11, 0.23910490059377665
26, 36, -3.5000000000000018, 13, 0.4038824861490595
27, 15, -1.4000000000000001, 13, 0.4285515236875981
28, 36, -3.5000000000000018, 14, 0.26812805410733187
29, 36, -3.5000000000000018, 12, 0.22477296638646152
30, 36, -3.5000000000000018, 16, 0.5671728168762061
31, 36, -3.5000000000000018, 14, 0.24593357822713102
32, 21, -2.0000000000000004, 15, 0.2931152772783505
33, 36, -3.5000000000000018, 16, 0.18836251086465938
34, 21, -2.0000000000000004, 19, 0.4224025347208107
35, 36, -3.5000000000000018, 15, 0.4802057174390396
36, 15, -1.4000000000000001, 20, 0.4487664932713179
37, 19, -1.8000000000000005, 12, 0.37266084027452306
38, 36, -3.5000000000000018, 17, 0.4623927289242191
39, 36, -3.5000000000000018, 14, 0.28303695673308193
40, 36, -3.5000000000000018, 14, 0.45004824832140466
41, 19, -1.8000000000000005, 18, 0.4876039754041771
42, 36, -3.5000000000000018, 18, 0.3832353582865665
43, 36, -3.5000000000000018, 14, 0.3094483042763637
44, 36, -3.5000000000000018, 16, 0.2804375233718628
45, 15, -1.4000000000000001, 16, 0.1935138647447503
46, 15, -1.4000000000000001, 18, 0.49064424606271473
47, 36, -3.5000000000000018, 17, 0.26163734335688027
48, 36, -3.5000000000000018, 17, 0.3334571118698184
49, 36, -3.5000000000000018, 18, 0.32195378008005604
50, 36, -3.5000000000000018, 19, 0.45111993888815416
51, 36, -3.5000000000000018, 20, 0.4298048513977394
52, 20, -1.9000000000000006, 22, 0.36074283189553547
53, 26, -2.500000000000001, 21, 0.3943138540265605
54, 11, -0.9999999999999999, 17, 0.2853137109678576
55, 36, -3.5000000000000018, 23, 0.4353625715345914
56, 36, -3.5000000000000018, 21, 0.37229672862157304
57, 18, -1.7000000000000004, 24, 0.5025296311142575
58, 19, -1.8000000000000005, 22, 0.6678766015999834
59, 31, -3.0000000000000013, 22, 0.2689834889373478
60, 16, -1.5000000000000002, 19, 0.2051849829837199
61, 36, -3.5000000000000018, 20, 0.7092120224571028
62, 32, -3.1000000000000014, 21, 0.261122264783185
63, 36, -3.5000000000000018, 23, 0.341244764739124
64, 36, -3.5000000000000018, 25, 0.4020266560904946
65, 36, -3.5000000000000018, 21, 0.5907944928619095
66, 32, -3.1000000000000014, 26, 0.5038302563936611
67, 21, -2.0000000000000004, 25, 0.1475799034815144
68, 15, -1.4000000000000001, 25, 0.3984339126442412
69, 17, -1.6000000000000003, 21, 0.3191650693907335
70, 36, -3.5000000000000018, 25, 0.3421362830643005
71, 11, -0.9999999999999999, 26, 0.25969442403487575
72, 36, -3.5000000000000018, 21, 0.3778571300864409
73, 28, -2.700000000000001, 23, 0.23942124898078576
74, 36, -3.5000000000000018, 27, 0.3415098983204208
75, 15, -1.4000000000000001, 24, 0.44037787483623375
76, 25, -2.400000000000001, 23, 0.28678388444598935
77, 36, -3.5000000000000018, 28, 0.4637775627101709
78, 36, -3.5000000000000018, 26, 0.3280878480303875
79, 36, -3.5000000000000018, 25, 0.4808442057178963
80, 21, -2.0000000000000004, 28, 0.31377482753888775
81, 36, -3.5000000000000018, 25, 0.628049699299484
82, 22, -2.1000000000000005, 26, 0.6346633639408228
83, 36, -3.5000000000000018, 27, 0.2628586390302869
84, 36, -3.5000000000000018, 27, 0.38550342249437064
85, 36, -3.5000000000000018, 27, 0.5527896581125631
86, 36, -3.5000000000000018, 27, 0.28816768868404774
87, 20, -1.9000000000000006, 26, 0.30261961860351994
88, 18, -1.7000000000000004, 28, 0.36785674579044325
89, 20, -1.9000000000000006, 31, 0.4127142840562231
90, 36, -3.5000000000000018, 31, 0.35985457437146606
91, 24, -2.3000000000000007, 30, 0.4232303755537959
92, 18, -1.7000000000000004, 27, 0.48080835221780893
93, 36, -3.5000000000000018, 31, 0.45075015733622825
94, 21, -2.0000000000000004, 27, 0.4664409778830676
95, 36, -3.5000000000000018, 30, 0.5017325155337391
96, 36, -3.5000000000000018, 29, 0.5390937859611604
97, 36, -3.5000000000000018, 34, 0.36263944817549765
98, 24, -2.3000000000000007, 30, 0.3927769966073965
99, 21, -2.0000000000000004, 33, 0.4487830477536261
100, 16, -1.5000000000000002, 33, 0.42813387593601826
101, 36, -3.5000000000000018, 33, 0.3418081844466023
102, 31, -3.0000000000000013, 32, 0.4288044638041852
103, 36, -3.5000000000000018, 34, 0.44036472716323294
104, 27, -2.600000000000001, 32, 0.3330783776951758
105, 21, -2.0000000000000004, 38, 0.4488741677672474
106, 36, -3.5000000000000018, 35, 0.7579068043130627
107, 15, -1.4000000000000001, 32, 0.416771190065822
108, 36, -3.5000000000000018, 34, 0.32622532973540025
109, 36, -3.5000000000000018, 34, 0.36145730727710157
110, 23, -2.2000000000000006, 37, 0.3671379824577379
111, 36, -3.5000000000000018, 34, 0.3657782348954224
112, 11, -0.9999999999999999, 33, 0.49083193555362703
113, 11, -0.9999999999999999, 37, 0.3587201523672938
114, 36, -3.5000000000000018, 33, 0.3349760704402187
115, 36, -3.5000000000000018, 31, 0.42716824904896233
116, 21, -2.0000000000000004, 33, 0.4893052470423582
117, 14, -1.3, 38, 0.29718243151296464
118, 26, -2.500000000000001, 36, 0.3053048638527103
119, 14, -1.3, 39, 0.33931720757047157
120, 23, -2.2000000000000006, 40, 0.40840575741818275
121, 12, -1.0999999999999999, 35, 0.3144692183398834
122, 16, -1.5000000000000002, 40, 0.43806754533243564
123, 20, -1.9000000000000006, 35, 0.19445209875978647
124, 27, -2.600000000000001, 35, 0.48465058162007346
125, 36, -3.5000000000000018, 37, 0.4590191852467501
126, 31, -3.0000000000000013, 39, 0.3588219588389988
127, 36, -3.5000000000000018, 38, 0.44346342400425987
128, 14, -1.3, 39, 0.3430003530317911
129, 36, -3.5000000000000018, 41, 0.5855159066434679
130, 21, -2.0000000000000004, 37, 0.36745230023287
131, 28, -2.700000000000001, 44, 0.43387143254181215
132, 36, -3.5000000000000018, 44, 0.30612982295203606
133, 24, -2.3000000000000007, 44, 0.3407843334493805
134, 36, -3.5000000000000018, 36, 0.3873983598374553
135, 12, -1.0999999999999999, 41, 0.2469963080364539
136, 36, -3.5000000000000018, 37, 0.45459505039659076
137, 20, -1.9000000000000006, 39, 0.19766647277957605
138, 36, -3.5000000000000018, 42, 0.4952704228693914
139, 36, -3.5000000000000018, 43, 0.3751045643472427
140, 17, -1.6000000000000003, 38, 0.3232940836295133
141, 22, -2.1000000000000005, 40, 0.4162161299059468
142, 36, -3.5000000000000018, 39, 0.318880639481244
143, 36, -3.5000000000000018, 46, 0.5232436988581666
144, 19, -1.8000000000000005, 55, 0.33574364787130584
145, 36, -3.5000000000000018, 40, 0.32967213006382146
146, 18, -1.7000000000000004, 46, 0.2540359473149836
147, 18, -1.7000000000000004, 43, 0.3550797847531827
148, 36, -3.5000000000000018, 45, 0.5229044220293533
149, 36, -3.5000000000000018, 47, 0.5438560748123314
150, 36, -3.5000000000000018, 49, 0.5117666747494651
151, 23, -2.2000000000000006, 48, 0.49674172557023577
152, 11, -0.9999999999999999, 44, 0.31176247468989626
153, 36, -3.5000000000000018, 43, 0.334742247194272
154, 36, -3.5000000000000018, 51, 0.43985756024997724
155, 36, -3.5000000000000018, 48, 0.5298167792565363
156, 23, -2.2000000000000006, 46, 0.3599796450039521
157, 18, -1.7000000000000004, 45, 0.3717133592392332
158, 12, -1.0999999999999999, 44, 0.3849742250200887
159, 30, -2.9000000000000012, 47, 0.31343841639100023
160, 36, -3.5000000000000018, 46, 0.547335154399226
161, 14, -1.3, 46, 0.3434099114231549
162, 36, -3.5000000000000018, 45, 0.33765661591202156
163, 36, -3.5000000000000018, 49, 0.6205172810945309
164, 25, -2.400000000000001, 50, 0.3982551669348693
165, 18, -1.7000000000000004, 47, 0.2314798968568289
166, 36, -3.5000000000000018, 49, 0.3670788699072013
167, 30, -2.9000000000000012, 48, 0.2155717468060374
168, 36, -3.5000000000000018, 45, 0.41826747197486647
169, 36, -3.5000000000000018, 50, 0.3269426929583596
170, 36, -3.5000000000000018, 44, 0.37283557332754436
171, 36, -3.5000000000000018, 51, 0.45233640687638793
172, 12, -1.0999999999999999, 51, 0.34619896488323554
173, 32, -3.1000000000000014, 52, 0.5037938270500119
174, 36, -3.5000000000000018, 50, 0.3561403105023273
175, 18, -1.7000000000000004, 51, 0.39605372628966135
176, 22, -2.1000000000000005, 51, 0.34577726331139563
177, 36, -3.5000000000000018, 45, 0.3607952171286545
178, 36, -3.5000000000000018, 52, 0.37657257854969317
179, 24, -2.3000000000000007, 50, 0.26261751462018024
180, 36, -3.5000000000000018, 50, 0.2970651025777058
181, 28, -2.700000000000001, 54, 0.4075819659576984
